원위도,원경도,snapped_lat,snapped_lon
37.50287651,126.788014,37.502959,126.787994
37.44084465,126.8463901,37.440846,126.846386
37.28893628,126.872165,37.288932,126.87217
37.44303146,126.7769208,37.443008,126.776964
37.44494993,127.1445788,37.444806,127.144744
35.82426113,127.103618,35.824263,127.10382
35.81246384,127.1196306,35.81245,127.119629
34.80940963,126.4231793,34.809666,126.422992
35.96531676,126.7161683,35.965548,126.716164
36.77471259,127.074173,36.774831,127.074157
35.81719716,127.1181562,35.817197,127.11822
36.64919824,127.4647585,36.649333,127.464764
36.71938764,129.3511936,36.719328,129.351268
34.71840604,126.7096572,34.718411,126.709696
36.6388698,127.45917,36.638663,127.45924
37.56804519,127.0308726,37.567942,127.030904
37.55918667,126.9779233,37.558861,126.978402
37.48648724,126.9093188,37.486379,126.90937
37.6200793,127.0468782,37.619916,127.046509
37.54789453,127.0242134,37.547762,127.024205
37.48835747,126.9245521,37.488245,126.924587
37.52440884,126.9042059,37.524391,126.904326
37.5332908,127.0077933,37.533292,127.007794
37.61566635,127.0298818,37.615664,127.029839
37.59178637,127.0178794,37.591808,127.017943
37.5082902,127.1058915,37.508189,127.10601
35.15509664,126.8657727,35.155123,126.865717
37.50310821,127.035439,37.502927,127.035525
35.13303213,126.9113558,35.133033,126.911356
35.1530406,126.8840662,35.153005,126.884044
35.16213426,126.9057274,35.162071,126.905785
35.17924458,126.8915951,35.179089,126.89159
37.48830595,127.0315263,37.48828,127.03144
37.46756394,126.7070659,37.467388,126.707022
35.19078619,126.8930739,35.190897,126.892966
37.27941791,127.0376239,37.279419,127.037631
37.44037827,127.1467578,37.440413,127.14674
35.22025499,126.8424032,35.22015,126.842399
37.24670833,127.049849,37.24675,127.049491
37.37110147,127.103143,37.371102,127.103091
37.26980004,126.997795,37.26981,126.997799
35.19215753,126.8242531,35.192144,126.824028
36.33222957,127.333094,36.33229,127.333094
35.17946841,126.806314,35.179632,126.806326
35.17176577,126.9218386,35.171748,126.921874
36.98384646,126.9296395,36.983862,126.929597
37.10823466,127.2198421,37.107816,127.219611
37.21335326,127.031575,37.213338,127.031389
37.6121289,127.1716383,37.612156,127.171708
37.31675206,126.83328,37.316742,126.833279
37.01014849,127.4371939,37.010151,127.437213
37.04854974,127.0531643,37.048552,127.053205
37.33747978,127.2497894,37.33752,127.249811
37.28917183,126.8723887,37.289177,126.872385
37.22412125,126.9548586,37.224035,126.955127
37.41720535,127.2468404,37.41718,127.246859
37.86599612,127.7223869,37.865992,127.722397
36.63446831,127.4541481,36.634519,127.454143
33.49084859,126.5381165,33.49093,126.538237
36.6498594,127.4602047,36.649956,127.460205
36.8261937,127.1390772,36.826187,127.139232
36.62450087,127.4620855,36.624713,127.46215
37.38659937,127.2882995,37.386491,127.288153
33.46961018,126.5700336,33.469563,126.570215
33.48766336,126.4798546,33.48768,126.479836
33.49249089,126.4901596,33.492533,126.490218
35.69358058,128.470363,35.693635,128.470363
36.17066612,127.0530482,36.170667,127.053064
37.52691928,126.6221534,37.52696,126.622301
36.66093106,127.1302682,36.661013,127.130164
37.66280316,126.8313896,37.662824,126.831402
35.29291125,126.7740027,35.292908,126.773971
35.61153599,128.0165124,35.611614,128.016453
36.01090535,128.132589,36.01091,128.132559
35.5617258,129.3163086,35.561752,129.316325
36.56469897,128.738753,36.564781,128.738781
35.33005852,129.0441603,35.33006,129.044161
35.27610009,127.8346911,35.276089,127.834669
33.27653342,126.671152,33.276167,126.671272
35.19464465,128.0693471,35.194638,128.06935
35.04779845,126.8427599,35.04776,126.842763
34.8488022,127.4049821,34.848885,127.404809
36.78177485,126.4024705,36.781876,126.402404
35.2453551,129.2110114,35.24529,129.211006
35.10678535,128.922969,35.106779,128.923024
37.33204908,127.1272044,37.331651,127.127087
37.49791129,127.9763301,37.497892,127.976295
